step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
317,496800,10144,0.02785158877841643,0.75,0.75,,,,,
318,498368,10176,0.0351619453460863,0.59375,0.59375,,,,,
319,499936,10208,0.018679720022723816,0.90625,0.90625,,,,,
320,501760,10240,0.01825346572364298,0.875,0.875,,,,,
321,503328,10272,0.028247551683426714,0.6875,0.6875,0.030171013831985505,0.6875,0.6875,,
322,504640,10304,0.030579849014278293,0.71875,0.71875,,,,,
323,506208,10336,0.020717126876363064,0.78125,0.78125,,,,,
324,507520,10368,0.02891263628384354,0.8125,0.8125,,,,,
325,509088,10400,0.01972979380561796,0.875,0.875,,,,,
326,510656,10432,0.022790211833359515,0.875,0.875,,,,,
327,512224,10464,0.01956039822598683,0.8125,0.8125,,,,,
328,513536,10496,0.03157894142225819,0.78125,0.78125,,,,,
329,514848,10528,0.02655434917360793,0.75,0.75,0.02339449468454731,0.6875,0.6875,,
330,516416,10560,0.03077502044882716,0.75,0.75,,,,,
331,517984,10592,0.022082701358071475,0.84375,0.84375,,,,,
332,519808,10624,0.025403152730982304,0.71875,0.71875,,,,,
333,521376,10656,0.02913276960886667,0.71875,0.71875,,,,,
334,522944,10688,0.02757728433028267,0.78125,0.78125,,,,,
335,524512,10720,0.02344042120570947,0.84375,0.84375,,,,,
336,526080,10752,0.02312079835340744,0.6875,0.6875,,,,,
337,527648,10784,0.02536231303678463,0.71875,0.71875,0.031735050077842476,0.71875,0.71875,,
338,529472,10816,0.021024338492373958,0.71875,0.71875,,,,,
339,530784,10848,0.026710237768764782,0.84375,0.84375,,,,,
340,532352,10880,0.02589929194099386,0.75,0.75,,,,,
341,533664,10912,0.029670300021339014,0.8125,0.8125,,,,,
342,535232,10944,0.027960829098251924,0.6875,0.6875,,,,,
343,536800,10976,0.028612933287233817,0.65625,0.65625,,,,,
344,538368,11008,0.02163622638153091,0.75,0.75,,,,,
345,540192,11040,0.022646874497101035,0.8125,0.8125,0.020577170299768376,0.875,0.875,,
346,542016,11072,0.0218128053242794,0.8125,0.8125,,,,,
347,543840,11104,0.02228806506734612,0.65625,0.65625,,,,,
348,545408,11136,0.029526364525917143,0.59375,0.59375,,,,,
349,546976,11168,0.02669558611394829,0.75,0.75,,,,,
350,548288,11200,0.030662773793861793,0.78125,0.78125,,,,,
351,549856,11232,0.023391084084149767,0.75,0.75,,,,,
352,551680,11264,0.01876282183323399,0.75,0.75,,,,,
353,553248,11296,0.026215059328777008,0.75,0.75,0.02477469735840052,0.6875,0.6875,,
354,554816,11328,0.025077011279785493,0.71875,0.71875,,,,,
355,556384,11360,0.019615981606923374,0.90625,0.90625,,,,,
356,557952,11392,0.024884617251640862,0.75,0.75,,,,,
357,559520,11424,0.02421755713068208,0.71875,0.71875,,,,,
358,561600,11456,0.017674814718525625,0.78125,0.78125,,,,,
359,563168,11488,0.024321271541729462,0.625,0.625,,,,,
360,564480,11520,0.03314871142007871,0.6875,0.6875,,,,,
361,566048,11552,0.01917828782036248,0.84375,0.84375,0.020130049704866728,0.78125,0.78125,,
362,567616,11584,0.0299823431175497,0.6875,0.6875,,,,,
363,569184,11616,0.026422465130141622,0.78125,0.78125,,,,,
364,571008,11648,0.028513700676723996,0.71875,0.71875,,,,,
365,572576,11680,0.023181708539481274,0.78125,0.78125,,,,,
366,574400,11712,0.019826251389444608,0.8125,0.8125,,,,,
367,575968,11744,0.027263601058533805,0.75,0.75,,,,,
368,577280,11776,0.024015963452990167,0.875,0.875,,,,,
369,578848,11808,0.021683196828017375,0.84375,0.84375,0.0255542907134082,0.78125,0.78125,,
370,580672,11840,0.022237111119722233,0.84375,0.84375,,,,,
371,582240,11872,0.02443292125039084,0.8125,0.8125,,,,,
372,583552,11904,0.026969296158525623,0.71875,0.71875,,,,,
373,585120,11936,0.02486623707450684,0.78125,0.78125,,,,,
374,586432,11968,0.025255754710146988,0.875,0.875,,,,,
375,588000,12000,0.024742364247164514,0.75,0.75,,,,,
376,589568,12032,0.02708912265043144,0.71875,0.71875,,,,,
377,591136,12064,0.027645437590934848,0.78125,0.78125,0.023243687317253254,0.84375,0.84375,,
378,592448,12096,0.03433422656002739,0.6875,0.6875,,,,,
379,594016,12128,0.02350820652746473,0.84375,0.84375,,,,,
380,595584,12160,0.023134648897693687,0.84375,0.84375,,,,,
381,597408,12192,0.017641750510843428,0.84375,0.84375,,,,,
382,598976,12224,0.02769165532710952,0.65625,0.65625,,,,,
383,600544,12256,0.020479012639609,0.90625,0.90625,,,,,
384,601856,12288,0.032593851837750515,0.75,0.75,,,,,
385,603424,12320,0.02391016256517915,0.8125,0.8125,0.02283347173623173,0.9375,0.9375,,
386,604736,12352,0.03298246711845838,0.75,0.75,,,,,
387,606304,12384,0.025665866793472766,0.75,0.75,,,,,
388,607872,12416,0.023990944871433394,0.8125,0.8125,,,,,
389,609440,12448,0.029170433275203134,0.6875,0.6875,,,,,
